GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99,1703,1050,58,304,2010,3.6,125,28,6
99,1703,1050,58,304,2010,3.6,125,28,6
99,1704,1050,58,302,2011,3.6,124,27,6.1
99,1704,1050,58,302,2011,3.6,124,27,6.1
99,1704,1050,56,297,2009,3.6,120,31,6.1
99,1704,1050,58,305,2011,3.6,121,32,6.1
99,1704,1050,58,305,2011,3.6,121,32,6.1
99,1702,1050,55,304,2010,3.6,125,32,6.1
99,1702,1050,55,304,2010,3.6,125,32,6.1
99,1703,1050,58,294,1990,3.6,124,35,6.1
99,1702,1050,58,300,1989,3.6,125,32,6.1
99,1702,1050,56,304,1975,3.6,122,31,6.1
99,1702,1050,56,304,1975,3.6,122,31,6.1
99,1702,1050,57,304,1955,3.6,118,28,6.1
99,1702,1050,57,304,1955,3.6,118,28,6.1
99,1698,1050,56,313,1936,3.6,120,31,6.1
99,1698,1050,56,313,1936,3.6,120,31,6.1
99,1702,1050,59,319,1928,3.6,124,30,6.1
99,1702,1050,59,319,1928,3.6,124,30,6.1
99,1703,1050,56,299,1927,3.6,123,28,6.1
99,1703,1050,56,305,1927,3.6,122,34,6.1
99,1703,1050,56,305,1927,3.6,122,34,6.1
99,1706,1050,56,303,1927,3.6,118,29,6.1
99,1708,1050,56,299,1927,3.6,118,27,6.1
99,1708,1050,56,305,1927,3.6,118,27,6.1
99,1708,1050,56,305,1927,3.6,118,27,6.1
99,1708,1050,59,304,1927,3.6,118,26,6.1
99,1708,1050,59,304,1927,3.6,118,26,6.1
99,1700,1050,58,307,1929,3.6,121,25,6.2
99,1700,1050,58,307,1929,3.6,121,25,6.2
99,1702,1050,57,297,1928,3.6,121,29,6.2
99,1702,1050,57,297,1928,3.6,121,29,6.2
99,1704,1050,56,307,1928,3.6,116,27,6.2
99,1704,1050,56,307,1928,3.6,116,27,6.2
99,1701,1050,58,303,1928,3.6,127,26,6.1
99,1701,1050,58,306,1914,3.6,124,27,6.1
99,1701,1050,58,306,1914,3.6,124,27,6.1
99,1698,1050,57,306,1906,3.6,125,32,6.1
99,1699,1050,58,302,1897,3.6,125,30,6.1
99,1699,1050,58,302,1897,3.6,125,30,6.1
99,1701,1050,59,302,1886,3.6,121,33,6.1
99,1701,1050,59,302,1886,3.6,121,33,6.1
99,1701,1050,56,302,1866,3.6,123,29,6.1
99,1701,1050,59,302,1856,3.6,122,30,6.1
99,1702,1050,59,297,1846,3.6,124,28,6.1
99,1702,1050,59,297,1846,3.6,124,28,6.1
99,1700,1050,57,307,1828,3.6,121,29,6.1
99,1700,1050,57,307,1828,3.6,121,29,6.1
99,1693,1050,59,314,1805,3.6,125,31,6.1
99,1693,1050,59,314,1805,3.6,125,31,6.1
99,1696,1050,57,308,1802,3.6,125,27,6.1
99,1696,1050,57,308,1802,3.6,125,27,6.1
99,1696,1050,57,308,1801,3.6,126,27,6.1
99,1697,1050,59,309,1802,3.6,123,28,6.1
99,1697,1050,59,309,1802,3.6,123,28,6.1
99,1700,1050,57,309,1814,3.6,118,29,6.1
99,1700,1050,57,309,1814,3.6,118,29,6.1
99,1700,1050,59,301,1822,3.6,119,27,6.1
99,1699,1050,57,301,1822,3.6,118,30,6.1
99,1699,1050,57,301,1822,3.6,118,30,6.1
99,1699,1050,57,311,1823,3.6,122,32,6.1
99,1699,1050,57,311,1823,3.6,122,32,6.1
99,1697,1050,60,315,1818,3.6,126,33,6.1
99,1697,1050,60,312,1821,3.6,129,34,6.1
99,1697,1050,60,315,1822,3.6,129,30,6.1
99,1697,1050,60,315,1822,3.6,129,30,6.1
99,1697,1050,61,313,1840,3.6,129,25,6.1
99,1697,1050,61,313,1840,3.6,129,25,6.1
99,1696,1050,60,313,1859,3.6,128,20,6.1
99,1697,1050,61,315,1863,3.6,129,31,6.1
99,1697,1050,60,315,1875,3.6,129,25,6.1
99,1697,1050,60,315,1875,3.6,129,25,6.1
99,1697,1050,60,316,1884,3.6,128,31,6.1
99,1699,1050,60,303,1886,3.6,120,25,6.1
99,1699,1050,60,303,1886,3.6,120,25,6.1
99,1700,1050,60,308,1885,3.6,115,29,6.1
99,1700,1050,60,308,1885,3.6,115,29,6.1
99,1701,1050,60,306,1886,3.6,116,27,6.1
99,1698,1050,59,305,1884,3.6,116,29,6.1
99,1698,1050,59,305,1884,3.6,116,29,6.1
99,1700,1050,60,306,1866,3.6,122,28,6.1
99,1700,1050,60,306,1866,3.6,122,28,6.1
99,1701,1050,58,308,1865,3.6,123,27,6.1
99,1701,1050,58,307,1865,3.6,123,31,6.1
99,1701,1050,58,307,1865,3.6,123,31,6.1
99,1701,1050,60,303,1865,3.6,123,30,6.2
99,1701,1050,60,303,1865,3.6,123,30,6.2
99,1698,1050,58,303,1864,3.6,122,29,6.2
99,1698,1050,58,303,1864,3.6,122,29,6.2
99,1698,1050,60,303,1860,3.6,121,31,6.2
99,1696,1050,61,310,1848,3.6,121,32,6.2
99,1696,1050,61,310,1848,3.6,121,32,6.2
99,1696,1050,61,310,1843,3.6,118,30,6.2
99,1696,1050,59,304,1841,3.6,117,28,6.2
99,1696,1050,58,309,1828,3.6,117,31,6.2
99,1696,1050,58,309,1828,3.6,117,31,6.2
99,1696,1050,60,303,1823,3.6,118,28,6.2
99,1698,1050,58,306,1822,3.6,121,28,6.2
99,1698,1050,58,306,1822,3.6,121,30,6.2
99,1697,1050,58,306,1806,3.6,121,30,6.2
99,1693,1050,61,303,1803,3.6,123,32,6.2
99,1693,1050,61,303,1803,3.6,123,32,6.2
99,1698,1050,60,299,1801,3.6,117,30,6.2
99,1701,1050,58,299,1788,3.6,116,28,6.2
99,1701,1050,58,299,1788,3.6,116,28,6.2
99,1699,1050,60,299,1782,3.6,122,25,6.2
99,1699,1050,60,299,1782,3.6,122,25,6.2
99,1698,1050,59,305,1764,3.6,127,36,6.2
99,1697,1050,61,310,1761,3.6,128,35,6.2
99,1697,1050,61,305,1760,3.6,120,35,6.2
99,1697,1050,61,305,1760,3.6,120,28,6.2
99,1695,1050,61,310,1759,3.6,121,29,6.2
99,1696,1050,61,305,1758,3.6,123,33,6.2
99,1696,1050,61,305,1758,3.6,123,33,6.2
96,1664,1050,60,292,1759,3.6,117,31,6.2
96,1664,1050,60,292,1759,3.6,117,31,6.2
99,1691,1050,60,287,1760,3.6,128,32,6.2
99,1684,1050,61,293,1758,3.6,121,32,6.2
99,1684,1050,61,293,1758,3.6,121,30,6.2
99,1698,1050,61,300,1759,3.6,122,32,6.2
99,1698,1050,61,300,1759,3.6,122,32,6.2
99,1696,1050,61,300,1750,3.6,124,31,6.2
99,1696,1050,61,300,1750,3.6,124,31,6.2
99,1695,1050,61,296,1740,3.6,121,32,6.2
99,1696,1050,59,311,1738,3.6,122,35,6.2
99,1696,1050,59,311,1738,3.6,122,35,6.2
99,1695,1050,62,302,1738,3.6,121,29,6.2
99,1695,1050,61,306,1739,3.6,119,31,6.2
99,1695,1050,61,306,1739,3.6,119,31,6.2
99,1688,1050,62,307,1751,3.6,119,32,6.2
99,1688,1050,62,307,1751,3.6,119,32,6.2
99,1694,1050,62,312,1739,3.6,124,33,6.2
99,1694,1050,62,312,1739,3.6,124,33,6.2
99,1694,1050,61,303,1738,3.6,128,33,6.2
99,1694,1050,61,303,1738,3.6,128,33,6.2
99,1694,1050,62,308,1739,3.6,124,31,6.2
99,1694,1050,62,308,1739,3.6,124,31,6.2
99,1694,1050,62,305,1738,3.6,121,32,6.2
99,1694,1050,62,305,1738,3.6,121,32,6.2
99,1694,1050,62,308,1739,3.6,120,26,6.2
99,1694,1050,62,306,1739,3.6,120,26,6.2
99,1694,1050,62,306,1739,3.6,120,26,6.2
99,1694,1050,62,307,1739,3.6,120,27,6.2
99,1694,1050,62,306,1739,3.6,120,26,6.2
99,1694,1050,62,307,1739,3.6,120,25,6.2
99,1694,1050,62,307,1739,3.6,120,25,6.2
91,1690,1050,61,275,1738,3.6,129,31,6.2
91,1690,1050,61,275,1738,3.6,129,31,6.2
99,1697,1050,62,298,1739,3.6,131,34,6.2
99,1697,1050,62,298,1739,3.6,131,34,6.2
99,1700,1050,62,298,1733,3.6,120,30,6.2
99,1700,1050,62,298,1733,3.6,120,30,6.2
99,1696,1050,62,301,1720,3.6,128,23,6.2
