GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99,1676,1050,55,324,2239,5.9,64,29,5.9
99,1681,1050,56,330,2238,5.9,68,21,6
99,1681,1050,56,330,2238,5.9,68,21,6
99,1678,1050,54,323,2228,5.9,65,24,6
99,1669,1050,55,327,2224,5.9,71,23,6
99,1669,1050,55,327,2224,5.9,71,23,6
99,1673,1050,57,335,2220,5.9,65,26,6
99,1673,1050,57,335,2220,5.9,65,26,6
99,1677,1050,58,332,2235,5.9,67,17,6
99,1674,1050,56,333,2238,5.9,71,19,6
99,1674,1050,56,333,2238,5.9,71,19,6
99,1672,1050,56,338,2239,5.9,68,17,6
99,1675,1050,57,334,2239,5.9,71,18,6
99,1675,1050,57,334,2239,5.9,71,18,6
99,1681,1050,55,324,2238,5.9,70,18,6
99,1681,1050,55,324,2238,5.9,70,18,6
99,1685,1050,58,324,2239,5.9,62,31,6
99,1686,1050,58,328,2239,5.9,65,13,6
99,1686,1050,57,330,2238,5.9,65,13,6
99,1686,1050,58,324,2238,5.9,65,17,6
99,1686,1050,58,324,2238,5.9,65,17,6
99,1686,1050,58,320,2240,5.9,65,18,6
99,1674,1050,58,332,2238,5.9,65,18,6
99,1674,1050,58,332,2238,5.9,65,17,6
99,1682,1050,58,320,2189,5.9,65,16,6
99,1682,1050,58,320,2189,5.9,65,16,6
99,1678,1050,57,332,2184,5.9,66,17,6
99,1678,1050,57,332,2184,5.9,66,17,6
99,1665,1050,56,345,2182,5.9,72,19,6
99,1672,1050,58,330,2184,5.9,67,21,6
99,1672,1050,58,330,2184,5.9,67,21,6
99,1674,1050,56,333,2184,5.9,67,19,6
99,1674,1050,56,333,2184,5.9,67,19,6
99,1679,1050,56,327,2220,5.9,66,15,6
99,1679,1050,56,327,2220,5.9,66,15,6
99,1680,1050,58,330,2239,5.9,68,18,6
99,1681,1050,56,329,2237,5.9,69,18,6
99,1681,1050,56,329,2237,5.9,69,18,6
99,1675,1050,56,332,2239,5.9,71,17,6
99,1679,1050,56,323,2240,5.9,68,18,6
99,1679,1050,56,323,2240,5.9,68,18,6
99,1678,1050,56,329,2238,5.9,68,20,6.1
99,1678,1050,56,329,2238,5.9,68,20,6.1
99,1672,1050,58,337,2239,5.9,71,19,6.1
99,1672,1050,58,337,2239,5.9,71,19,6.1
99,1673,1050,58,334,2241,5.9,71,17,6.1
99,1673,1050,59,347,2241,5.6,71,18,5.9
99,1673,1050,59,347,2241,5.6,71,18,5.9
99,1674,1050,56,333,2208,5.8,69,19,5.9
99,1675,1050,59,338,2191,5.8,67,18,5.9
99,1675,1050,59,338,2191,5.8,67,18,5.9
99,1675,1050,57,333,2183,5.8,68,19,5.9
99,1675,1050,57,333,2183,5.8,68,19,5.9
99,1674,1050,56,324,2220,5.9,65,19,5.9
99,1674,1050,56,324,2220,5.9,65,19,5.9
99,1678,1050,56,322,2237,5.9,65,19,5.9
99,1675,1050,57,336,2239,5.9,70,19,5.9
99,1673,1050,59,338,2241,5.9,72,21,5.9
99,1673,1050,59,338,2241,5.9,72,21,5.9
99,1672,1050,60,343,2275,5.9,74,19,5.9
99,1672,1050,60,343,2275,5.9,74,19,5.9
99,1673,1050,57,341,2277,5.9,73,19,5.9
99,1673,1050,57,341,2277,5.9,73,19,5.9
99,1673,1050,57,335,2220,5.9,73,18,5.9
99,1673,1050,58,344,2191,5.9,73,19,5.9
99,1673,1050,58,344,2191,5.9,73,19,5.9
99,1673,1050,59,341,2186,5.9,73,19,5.9
99,1673,1050,59,341,2186,5.9,73,19,5.9
99,1669,1050,59,339,2186,5.9,66,11,5.9
99,1669,1050,59,339,2186,5.9,66,11,5.9
99,1671,1050,59,334,2184,5.9,64,18,5.9
99,1671,1050,57,335,2183,5.9,65,20,5.9
99,1671,1050,57,335,2183,5.9,65,20,5.9
99,1670,1050,56,333,2221,5.9,65,19,5.9
99,1670,1050,56,333,2221,5.9,65,19,5.9
99,1671,1050,57,336,2239,5.9,66,18,5.9
99,1672,1050,59,336,2241,5.9,65,18,5.9
99,1672,1050,59,336,2241,5.9,65,18,5.9
99,1672,1050,57,332,2230,5.9,65,17,5.9
99,1672,1050,57,332,2230,5.9,65,17,5.9
99,1671,1050,59,334,2222,5.9,65,17,6
99,1671,1050,57,327,2223,5.9,65,16,6
99,1669,1050,57,331,2223,5.9,66,18,6
99,1669,1050,57,331,2223,5.9,66,18,6
99,1667,1050,57,334,2273,5.9,67,19,6
99,1667,1050,57,334,2273,5.9,67,19,6
99,1673,1050,57,336,2279,5.9,66,21,6
99,1676,1050,58,334,2277,5.9,68,21,6
99,1678,1050,59,332,2285,5.9,68,18,6
99,1678,1050,59,332,2285,5.9,68,18,6
99,1673,1050,57,339,2295,5.9,69,19,6
99,1678,1050,57,327,2296,5.9,68,19,6
99,1678,1050,57,327,2296,5.9,68,19,6
99,1674,1050,60,330,2247,5.9,63,20,6
99,1674,1050,60,330,2247,5.9,63,20,6
